p80_to_p20_ratio, median_aud, highest_quartile_pc, income_aud, income_share_top_5pc, median_age_of_earners_years, third_quartile_pc, earners_persons, lowest_quartile_pc, mean_aud, p20_to_p50_ratio, income_share_top_1pc, p10_to_p50_ratio, gini_coefficient_no, second_quartile_pc, sa3_name16, income_share_top_10pc, p80_to_p50_ratio, sa3_code_2016
4.54,47638,26.1,2833390278,17.9,36,25.6,49388,23.5,57370,0.4,5.8,0.2,0.433,24.8,"Brunswick - Coburg",28.8,1.82,"20601"
4.5,51911,30.0,1940425719,20.4,39,25.7,29701,21.2,65332,0.4,7.8,0.21,0.451,23.0,"Darebin - South",31.5,1.81,"20602"
4.94,53053,32.2,2641473813,22.5,40,24.3,37841,22.1,69805,0.38,8.9,0.18,0.479,21.4,"Essendon",34.0,1.87,"20603"
5.97,47784,28.6,4675852292,30.1,31,23.1,66283,27.4,70544,0.33,15.7,0.16,0.548,21.0,"Melbourne City",41.0,1.95,"20604"
4.88,57498,35.6,5428858572,27.8,37,24.6,65604,19.8,82752,0.39,13.2,0.2,0.517,19.9,"Port Phillip",39.0,1.9,"20605"
5.14,59039,37.3,4311201012,38.9,36,23.7,41298,19.6,104392,0.39,21.8,0.19,0.606,19.4,"Stonnington - West",49.4,2.0,"20606"
4.71,55698,33.6,3950948058,24.2,35,25.3,52908,20.3,74676,0.39,10.3,0.2,0.485,20.8,"Yarra",35.4,1.85,"20607"
6.67,55075,37.0,9667660605,31.8,45,19.7,104445,23.9,92562,0.33,14.5,0.15,0.581,19.4,"Boroondara",44.1,2.23,"20701"
6.01,41766,25.2,3116520793,23.9,47,21.5,52882,29.4,58933,0.35,9.8,0.14,0.513,24.0,"Manningham - West",35.7,2.07,"20702"
6.07,44059,26.8,3343811830,22.5,44,21.7,55612,28.8,60128,0.34,8.4,0.14,0.503,22.7,"Whitehorse - West",34.4,2.04,"20703"
6.78,55569,37.9,5667597766,32.1,48,18.9,59596,23.4,95100,0.34,14.6,0.15,0.584,19.7,"Bayside",44.3,2.3,"20801"
4.49,42572,19.6,2313944055,17.5,39,26.7,46175,26.6,50112,0.4,5.8,0.19,0.429,27.1,"Darebin - North",28.2,1.78,"20902"
4.86,49090,29.4,2571094874,21.2,46,23.5,40168,23.4,64009,0.39,8.0,0.19,0.47,23.7,"Nillumbik - Kinglake",32.6,1.91,"20903"
3.78,44817,18.3,5014178224,15.5,39,30.4,100503,23.2,49891,0.44,4.8,0.22,0.391,28.1,"Whittlesea - Wallan",25.7,1.66,"20904"
4.68,47903,26.1,1925949132,19.9,44,26.0,32548,24.1,59173,0.39,7.2,0.17,0.453,23.9,"Keilor",30.9,1.82,"21001"
5.02,47239,27.6,1012850972,21.7,46,23.7,16597,24.7,61026,0.38,8.8,0.17,0.477,24.0,"Macedon Ranges",32.8,1.91,"21002"
5.19,50482,31.0,6000341219,24.0,42,23.1,86662,23.6,69238,0.38,9.9,0.17,0.5,22.3,"Glen Eira",35.6,1.95,"20802"
4.54,48481,26.5,3938712863,19.1,43,26.1,66560,23.1,59175,0.4,6.8,0.18,0.444,24.3,"Kingston",30.1,1.8,"20803"
6.25,57316,37.7,2474832037,32.9,43,20.7,25496,22.1,97067,0.35,14.6,0.16,0.582,19.5,"Stonnington - East",44.9,2.18,"20804"
4.83,48840,27.9,4314822042,21.3,43,24.9,69742,23.8,61868,0.38,8.5,0.17,0.467,23.4,"Banyule",32.3,1.85,"20901"
4.39,43593,20.4,1804491378,16.6,38,27.2,35746,25.7,50481,0.4,5.4,0.19,0.421,26.7,"Moreland - North",27.3,1.77,"21003"
3.98,47653,23.1,1192108170,17.0,43,28.9,21610,21.6,55165,0.43,5.7,0.22,0.409,26.3,"Sunbury",27.5,1.71,"21004"
3.92,42238,16.0,3216592798,16.5,39,29.4,67741,25.6,47484,0.43,5.5,0.21,0.405,29.1,"Tullamarine - Broadmeadows",26.7,1.67,"21005"
4.27,45214,21.7,4743936341,17.5,43,27.6,89468,24.0,53024,0.41,5.8,0.19,0.424,26.7,"Knox",28.2,1.76,"21101"
5.84,48693,31.3,1214017017,27.6,47,21.0,16354,25.2,74234,0.36,12.2,0.16,0.543,22.5,"Manningham - East",39.8,2.1,"21102"
4.48,45866,23.4,3349102136,17.6,43,26.7,61600,24.2,54369,0.4,5.7,0.18,0.429,25.7,"Maroondah",28.4,1.79,"21103"
5.38,45053,24.9,1938942930,19.2,44,24.4,34737,26.9,55818,0.35,6.7,0.14,0.462,23.8,"Whitehorse - East",30.5,1.9,"21104"
4.33,43553,20.4,4395539016,18.6,44,26.9,84489,25.1,52025,0.41,6.8,0.19,0.436,27.5,"Yarra Ranges",29.2,1.78,"21105"
3.95,44720,19.8,2403448061,17.6,41,28.7,46407,23.5,51791,0.43,6.3,0.21,0.416,28.0,"Cardinia",27.9,1.71,"21201"
4.05,44308,19.9,3573437920,18.7,42,28.2,68183,24.0,52410,0.43,7.0,0.21,0.427,27.9,"Casey - North",29.2,1.73,"21202"
3.46,45225,16.8,3860463615,14.9,39,32.3,78108,21.3,49425,0.46,4.6,0.25,0.373,29.6,"Casey - South",24.9,1.6,"21203"
4.11,39085,13.1,3828081534,16.5,39,27.6,87389,28.3,43805,0.41,5.4,0.19,0.412,31.0,"Dandenong",27.1,1.67,"21204"
5.81,42827,23.9,5317898609,21.3,43,23.2,95736,29.2,55548,0.34,7.9,0.14,0.488,23.6,"Monash",32.9,1.96,"21205"
4.04,41377,15.0,4039597560,15.6,39,29.1,87827,26.6,45995,0.41,4.8,0.21,0.4,29.3,"Brimbank",26.1,1.67,"21301"
4.5,50867,28.2,2834984234,19.6,42,26.8,45636,22.0,62122,0.4,7.2,0.19,0.444,23.0,"Hobsons Bay",30.4,1.79,"21302"
4.38,47362,24.5,2404047600,17.4,36,27.3,42855,23.5,56097,0.41,5.6,0.2,0.425,24.7,"Maribyrnong",28.3,1.78,"21303"
3.78,47056,21.1,3796135673,15.4,39,30.4,72139,21.5,52623,0.44,4.8,0.23,0.388,27.0,"Melton - Bacchus Marsh",25.6,1.67,"21304"
3.9,47367,21.6,5553011207,15.8,37,30.2,104235,22.0,53274,0.43,4.9,0.22,0.396,26.2,"Wyndham",26.2,1.67,"21305"
3.97,44371,18.9,3602577325,16.8,42,29.2,71210,23.8,50591,0.43,5.6,0.21,0.408,28.1,"Frankston",27.2,1.69,"21401"
5.14,40529,21.4,4662054151,24.4,47,22.9,84399,28.3,55238,0.38,10.5,0.17,0.501,27.4,"Mornington Peninsula",35.6,1.96,"21402"
