estmtd_rsdnt_ppltn_smmry_sttstcs_30_jne_prsns_ttl_nm, yr, population_density_as_at_30_june_population_density_personskm2, sa3_code_2016
91941,2016,4504.0,"20601"
55436,2016,3952.0,"20602"
70335,2016,3861.4,"20603"
146099,2016,4643.6,"20604"
108637,2016,4227.8,"20605"
93743,2016,4547.0,"20607"
67280,2016,5639.8,"20606"
177276,2016,2953.8,"20701"
95361,2016,1959.2,"20702"
106953,2016,2810.5,"20703"
102912,2016,2765.6,"20801"
156621,2016,3848.2,"20802"
122711,2016,1756.4,"20803"
43723,2016,3186.3,"20804"
127447,2016,2035.5,"20901"
99690,2016,2527.4,"20902"
68158,2016,90.7,"20903"
223805,2016,224.4,"20904"
61513,2016,1449.9,"21001"
30674,2016,30.9,"21002"
79507,2016,2617.3,"21003"
40924,2016,157.0,"21004"
168560,2016,573.1,"21005"
160400,2016,1355.9,"21101"
27328,2016,410.6,"21102"
114347,2016,1868.8,"21103"
63443,2016,2387.8,"21104"
154411,2016,96.2,"21105"
97736,2016,76.2,"21201"
137253,2016,1178.1,"21202"
175536,2016,599.3,"21203"
196452,2016,1300.6,"21204"
184587,2016,2322.6,"21205"
195201,2016,1826.9,"21301"
88419,2016,1421.2,"21302"
86942,2016,2784.3,"21303"
159962,2016,238.1,"21304"
232034,2016,426.4,"21305"
139502,2016,1076.4,"21401"
161528,2016,223.1,"21402"
