SA3_CODE,SA3_NAME,LAND_AREA_KM2,BUS_STOP_PER_KM2,TRAIN_STOP_PER_KM2,TRAM_STOP_PER_KM2
20601,Brunswick - Coburg,20.4133,15.676054337123347,0.2449383490175523,5.584594357600192
20602,Darebin - South,14.0275,14.257708073427196,0.5703083229370879,3.279272856888255
20603,Essendon,18.215,11.803458687894592,0.2744990392533626,5.380181169365907
20604,Melbourne City,31.4622,8.07317987934728,0.4449784185467005,9.916661899040754
20605,Port Phillip,25.6958,9.534632118867675,0.07783373158259327,6.343449123981351
20606,Stonnington - West,11.9294,5.784029372810033,0.4191325632471038,9.556222442033967
20607,Yarra,20.6163,5.6266158331029335,0.43654778015453793,7.857860042781683
20701,Boroondara,60.0157,7.764634920529128,0.266596907142631,4.5488097281211415
20702,Manningham - West,48.6724,1.2943680607490076,,
20703,Whitehorse - West,38.0551,11.246849962291519,0.10511074731113569,1.0511074731113568
20801,Bayside,37.2111,15.452378456965796,0.2418633149785951,0.2956107183071718
20902,Darebin - North,39.4436,12.60026975225385,0.12676327718565242,1.4197487044793071
20903,Nillumbik - Kinglake,751.7682,0.011971775342452634,0.0053207890410900596,
20904,Whittlesea - Wallan,997.4394,0.7890203655480222,0.008020537388035804,
21001,Keilor,42.425,6.906305244549205,0.02357100766057749,0.32999410724808487
21002,Macedon Ranges,992.107,,,
20802,Glen Eira,40.7002,13.14489855086707,0.24569903833396395,2.7026894216736035
20803,Kingston,69.8633,6.827619078972795,0.1288230014900527,
20804,Stonnington - East,13.722,6.3401836466987325,0.4372540445999126,5.392799883398921
20901,Banyule,62.6133,8.911844608094446,0.14373942916281365,0.36733409674941264
21003,Moreland - North,30.3779,11.324021739488247,0.2633493427787964,0.16459333923674777
21004,Sunbury,260.6847,0.9168163685862653,0.007672103502813935,
21005,Tullamarine - Broadmeadows,294.0954,2.5161903246361557,0.01700128597727132,
21101,Knox,118.3019,1.4285484848510464,0.03381179845801293,
21102,Manningham - East,66.5619,,,
21103,Maroondah,61.1872,,0.08171643742482088,
21104,Whitehorse - East,26.5696,2.521678911236902,0.0752739973503553,0.1505479947007106
21105,Yarra Ranges,1605.937,,0.003113447165112953,
21201,Cardinia,1282.327,0.03587228530632202,0.00311932915707148,
21202,Casey - North,116.503,4.755242354274139,0.02575040986069028,
21203,Casey - South,292.9259,1.9288154444519927,0.010241497935143324,
21204,Dandenong,151.0513,6.408418861671499,0.03972160451449276,
21205,Monash,79.4733,9.713954246268873,0.08807989601539133,
21301,Brimbank,106.8497,6.860103491165628,0.05615364385674457,
21302,Hobsons Bay,62.2158,6.686404418170304,0.12858470034942893,
21303,Maribyrnong,31.2254,12.681983257220084,0.19215126147303158,1.4411344610477368
21304,Melton - Bacchus Marsh,671.9436,0.754527612138876,,
21305,Wyndham,544.1195,1.6099404634459893,0.009189157896381217,
21401,Frankston,129.59799999999998,4.699146591768392,0.030864673837559226,
21402,Mornington Peninsula,724.1679,0.7208273109040044,0.011047161852934934,
