SA3_CODE,SA3_NAME,POPULATION,PEOPLE_PER_BUS_STOP,PEOPLE_PER_TRAIN_STOP,PEOPLE_PER_TRAM_STOP
20601,Brunswick - Coburg,91941,287.315625,18388.2,806.5
20602,Darebin - South,55436,277.18,6929.5,1205.1304347826087
20603,Essendon,70335,327.13953488372096,14067.0,717.704081632653
20604,Melbourne City,146099,575.1929133858267,10435.642857142857,468.26602564102564
20605,Port Phillip,108637,443.41632653061225,54318.5,666.4846625766871
20606,Stonnington - West,67280,975.072463768116,13456.0,590.1754385964912
20607,Yarra,93743,808.1293103448276,10415.888888888889,578.6604938271605
20701,Boroondara,177276,380.4206008583691,11079.75,649.3626373626373
20702,Manningham - West,95361,1513.6666666666667,,
20703,Whitehorse - West,106953,249.89018691588785,26738.25,2673.825
20801,Bayside,102912,178.97739130434783,11434.666666666666,9355.636363636364
20902,Darebin - North,99690,200.58350100603622,19938.0,1780.1785714285713
20903,Nillumbik - Kinglake,68158,7573.111111111111,17039.5,
20904,Whittlesea - Wallan,223805,284.37738246505717,27975.625,
21001,Keilor,61513,209.9419795221843,61513.0,4393.785714285715
21002,Macedon Ranges,30674,,,
20802,Glen Eira,156621,292.7495327102804,15662.1,1423.8272727272727
20803,Kingston,122711,257.25576519916143,13634.555555555555,
20804,Stonnington - East,43723,502.5632183908046,7287.166666666667,590.8513513513514
20901,Banyule,127447,228.39964157706092,14160.777777777777,5541.173913043478
21003,Moreland - North,79507,231.125,9938.375,15901.4
21004,Sunbury,40924,171.23012552301256,20462.0,
21005,Tullamarine - Broadmeadows,168560,227.78378378378378,33712.0,
21101,Knox,160400,949.112426035503,40100.0,
21102,Manningham - East,27328,,,
21103,Maroondah,114347,,22869.4,
21104,Whitehorse - East,63443,946.9104477611941,31721.5,15860.75
21105,Yarra Ranges,154411,,30882.2,
21201,Cardinia,97736,2124.695652173913,24434.0,
21202,Casey - North,137253,247.74909747292418,45751.0,
21203,Casey - South,175536,310.68318584070795,58512.0,
21204,Dandenong,196452,202.94628099173553,32742.0,
21205,Monash,184587,239.1023316062176,26369.571428571428,
21301,Brimbank,195201,266.3042291950887,32533.5,
21302,Hobsons Bay,88419,212.54567307692307,11052.375,
21303,Maribyrnong,86942,219.55050505050505,14490.333333333334,1932.0444444444445
21304,Melton - Bacchus Marsh,159962,315.5069033530572,,
21305,Wyndham,232034,264.87899543378995,46406.8,
21401,Frankston,139502,229.06732348111657,34875.5,
21402,Mornington Peninsula,161528,309.4406130268199,20191.0,
